numero;reg;ta_2017;te_2014;te_2009;dipl_2017;dipl_jeune_2014;dipl_jeune_2009;voiture_2014;voiture_2009;commun_2014;commun_2009;autre_2014;autre_2009;poids_2015;effort_2014;effort_2010
11;Île-de-France;76,3;66,5;67;80,4;54,8;53,1;41,1;42,1;43,3;42,2;15,6;15,7;7,1;3;2,9
24;Centre-Val de Loire;74,9;64,9;65,3;75,3;38,4;37,1;78,1;77;7,3;7,1;14,5;15,9;10,5;1,7;1,7
27;Bourgogne-Franche-Comté;74,1;64,3;64,4;75,3;37,4;36,3;78,6;77,4;5,9;5,6;15,5;17;11,8;1,8;1,7
28;Normandie;73,4;62,9;63,2;73,7;35,9;34,7;79,1;77,9;6,6;6,2;14,3;15,9;11,1;1,4;1,3
32;Hauts-de-France;71,2;58,5;58,8;73,5;37,5;36,5;77,7;76,7;8,7;8,2;13,6;15,1;11,2;1,1;1
44;Grand Est;73,4;62,7;63,3;75,9;38,5;37,1;77,3;76,5;8,1;7,7;14,6;15,8;11,5;1,4;1,3
52;Pays de la Loire;75,6;66,1;66,2;78;42,2;40;78,7;78;7;6,5;14,3;15,5;13,1;1,2;1,2
53;Bretagne;73,5;64,3;64,7;80,8;43,5;42,2;80,4;79,6;5,9;5,5;13,7;14,9;14,3;2;1,9
75;Nouvelle-Aquitaine;74;63,7;63,6;78;39,9;38,2;80,6;80;5,2;4,8;14,1;15,3;12;1,4;1,3
76;Occitanie;72,8;61,2;61,1;78,7;43;42,1;78,1;77,9;6,6;5,8;15,3;16,3;12;3,7;3,6
84;Auvergne-Rhône-Alpes;75,2;65,8;65,5;78,8;45,2;43,7;74,2;74,4;10,7;9,7;15,1;15,9;11,1;2,8;2,7
93;Provence-Alpes-Côte d'Azur;72,3;60,9;60,6;77,7;40,4;39,5;72,2;71,9;10,4;9,6;17,4;18,5;9,9;2,3;2
94;Corse;71,5;61,2;59,7;76,2;31,1;30,9;80,5;79,6;2,4;2,3;17,1;18,1;8,1;0,3;0,2
1;Guadeloupe;74,9;49,2;47,8;64,1;31,9;27;82,7;79,9;6,1;7,3;11,2;12,8;10,8;0,7;0,8
2;Martinique;70,7;52,4;51,4;65,3;35,3;31,4;82,1;80,1;8,4;9,4;9,5;10,5;10,5;0,7;0,8
3;Guyane;71,7;41,2;42,9;51,4;19,4;18,2;72,1;70,3;2,7;2,9;25,2;26,7;7,9;0,7;0,8
4;La Réunion;63,5;44,8;43,8;60,5;27,7;24,5;78;77,3;5,6;5,1;16,4;17,6;11,1;0,7;0,8
6;Mayotte;69,6;;;;;;;;;;;;;0,7;0,8
