numero reg;region;pop_2012;pop_2017;est_2020;var_2012_2017;var_nat;var_es
84;Auvergne-Rhône-Alpes;7 695,30;7 948,30;8 032,40;0,6;0,4;0,3
27;Bourgogne-Franche-Comté;2 816,80;2 811,40;2 783,00;0;0;-0,1
53;Bretagne;3 237,10;3 318,90;3 340,40;0,5;0;0,5
24;Centre-Val de Loire;2 563,60;2 576,30;2 559,10;0,1;0,1;0
94;Corse;316,3;334,9;344,7;1,2;0;1,2
44;Grand Est;5 549,00;5 549,60;5 511,70;0;0,2;-0,2
32;Hauts-de-France;5 973,10;6 003,80;5 962,70;0,1;0,4;-0,3
11;Île-de-France;11 898,50;12 174,90;12 278,20;0,5;0,9;-0,4
28;Normandie;3 322,80;3 330,50;3 303,50;0;0,2;-0,1
75;Nouvelle-Aquitaine;5 808,60;5 957,00;6 000,00;0,5;-0,1;0,6
76;Occitanie;5 626,90;5 845,10;5 924,90;0,8;0,1;0,7
52;Pays de la Loire;3 632,60;3 757,60;3 801,80;0,7;0,3;0,4
93;Provence-Alpes-Côte d'Azur;4 935,60;5 030,90;5 055,70;0,4;0,2;0,2
1;Guadeloupe;403,3;390,3;376,9;-0,7;0,5;-1,1
2;Martinique;388,4;372,6;358,7;-0,8;0,3;-1,1
3;Guyane;239,6;268,7;290,7;2,3;2,4;0
4;La Réunion;833,9;853,7;860;0,5;1,1;-0,7
