numero;reg;esp_h_2019;esp_h_2015;esp_h_2010;esp_f_2019;esp_f_2015;esp_f_2010;disp_2014;pauvrete_2018;pauvrete_2014;jeune_ni_2017;jeune_ni_2014;jeune_ni_2009;eloignement_2016;inondable_2013;inondable_2008
11;Île-de-France;80,5;80,6;79,5;85,9;85,6;85,2;4,5;15,6;15,6;nd;19,3;16,4;0,8;10,4;10
24;Centre-Val de Loire;78,9;78,9;77,7;85;85;84,5;3,1;13,1;12,9;nd;23,7;19,5;13,3;13,6;12,6
27;Bourgogne-Franche-Comté;78,7;78,5;77,7;85,2;84,9;84,5;3,1;12,9;13,1;nd;22,7;19,2;16,3;8,4;8
28;Normandie;79,3;77,8;76,9;85,2;84,6;84,2;3,1;13,5;13,6;nd;24,5;20,8;11,5;5,2;3,8
32;Hauts-de-France;80,5;76,7;75,4;86,4;83,4;82,7;3,3;18;18,3;nd;28,8;25;5,9;3;3
44;Grand Est;79;78,6;77,5;84,6;84,2;83,7;3,4;14,8;14,2;nd;23,6;20,2;9,3;9,2;9,2
52;Pays de la Loire;77,5;79,1;78,3;83,8;85,6;85,3;2,8;10,8;11,1;nd;20,1;16;7,1;5,7;5,7
53;Bretagne;81,4;78,2;77;86,1;84,9;84,2;2,9;10,9;10,8;nd;19,3;15,7;5,8;1,4;1,3
75;Nouvelle-Aquitaine;78,3;79,2;78,1;84,9;85,3;84,9;3,2;13,6;13,6;nd;22,6;18,9;10,8;6,1;4
76;Occitanie;79,7;79,6;78,6;85,5;85,4;84,9;3,5;17,2;17,2;nd;24,4;20,4;9;18,7;18,7
84;Auvergne-Rhône-Alpes;80,1;79,9;78,9;85,5;85,5;85,1;3,4;12,7;12,7;nd;20,1;16,9;8,2;14,3;13,9
93;Provence-Alpes-Côte d'Azur;79,8;79,4;78,7;86;85,3;84,9;3,7;17,3;17,5;nd;25,6;21,8;2,8;23,3;23,2
94;Corse;80;79,6;78,8;85,6;85,6;83,7;3,7;18,5;20,3;nd;27,8;26,1;17,9;30,8;25,2
1;Guadeloupe;76,4;77;75,8;84,7;84,8;83,4;nd;nd;nd;38,7;39,7;37,9;5,9;nd;nd
2;Martinique;78,8;79,4;77,5;84,3;84,7;84,3;4,4;29,8;32,1;36;37,8;34,2;1,7;10,4;nd
3;Guyane;76,6;76,4;74,7;83,8;82;81,9;nd;nd;nd;52,5;51,1;47,8;27;nd;nd
4;La Réunion;78,5;77,1;75,4;84,7;83,6;82,4;4,8;38,9;41,8;43,1;44,6;44,1;0,2;17,1;17,1
6;Mayotte;nd;75,3;;nd;77,2;;nd;nd;nd;nd;nd;;nd;nd;
